"","GSEA.Mic.m.NM"
"100893027",0.183762487259307
"100893048",-0.53806917931356
"100893055",-0.142500643200655
"100893059",0.415452437012574
"100893060",0.910582771643332
"100893061",-0.3397168892759
"100893077",-0.151518945530134
"100893096",0.285740787443037
"100893102",-0.724895384024571
"100893106",-0.392152841889793
"100893115",-0.101893021828969
"100893128",-0.0234595546069482
"100893147",-0.700619917025533
"100893162",0.338667655830084
"100893168",-1.30116458537187
"100893176",1.73244182648329
"100893201",0.835424112247524
"100893206",-1.28098699409145
"100893207",-0.0920279472120409
"100893235",-0.108643132474172
"100893240",0.453512620620528
"100893242",-0.188080096476491
"100893261",0.3185107094679
"100893281",0.077285177128977
"100893283",-0.111444730957355
"100893306",-0.730280968369893
"100893308",0.926678764071026
"100893315",0.442653551457254
"100893318",-0.114860805736016
"100893348",0.213678095087259
"100893361",0.64212388034879
