"","Class.L3","V1"
"2074","Adhesion_ECMLaminin","ECB-GENEPAGE-23139988"
"2075","Immunity_Signal","ECB-GENEPAGE-23009062"
"2076","Immunity_Signal","ECB-GENEPAGE-23139930"
"2077","Nervous_NeurotransmitterRelated","ECB-GENEPAGE-23052344"
"2078","Apoptosis_Bcl2","ECB-GENEPAGE-23052358"
"2079","Phosphatase_SerineThreonine","ECB-GENEPAGE-23055464"
"2080","Metabolism_Energy","ECB-GENEPAGE-23161704"
"2081","GPCRRhodopsin_All","ECB-GENEPAGE-23161658"
"2082","TF_Tbox","ECB-GENEPAGE-23108993"
"2083","TF_Homeo","ECB-GENEPAGE-23038951"
"2084","Nervous_Placode","ECB-GENEPAGE-23038951"
"2085","Nervous_NeurotransmitterRelated","ECB-GENEPAGE-23037065"
"2086","Metabolism_Energy","ECB-GENEPAGE-23109051"
"2087","Immunity_ReceptorTLR","ECB-GENEPAGE-23099122"
"2088","Cytoskeleton_Actin_Binding","ECB-GENEPAGE-23147710"
"2089","Nervous_SynapticVesicleRelease","ECB-GENEPAGE-23076920"
"2090","Defensome_BiotransformationReductiveConjugative","ECB-GENEPAGE-23101972"
"2091","Signaling_RTK_Docking","ECB-GENEPAGE-23084269"
"2092","CalciumToolkit","ECB-GENEPAGE-23084269"
"2093","Immunity_ReceptorNLR","ECB-GENEPAGE-23091699"
"2094","Defensome_Antioxidant","ECB-GENEPAGE-23128788"
"2095","Metalloprotease","ECB-GENEPAGE-23128795"
"2096","Defensome_Antioxidant","ECB-GENEPAGE-23128766"
"2097","Metabolism_InorganicIon","ECB-GENEPAGE-23128766"
"2098","Immunity_ReceptorTLR","ECB-GENEPAGE-23194132"
"2099","Immunity_ReceptorNLR","ECB-GENEPAGE-23127609"
"2100","Immunity_ReceptorNLR","ECB-GENEPAGE-23080996"
"2101","TF_bHLH","ECB-GENEPAGE-23089037"
"2102","Nervous_Circadian","ECB-GENEPAGE-23044417"
"2103","GTPase_RhoRegulator_RhoGAP","ECB-GENEPAGE-23044484"
"2104","Signaling_RTK_Ligand","ECB-GENEPAGE-23044496"
"2105","Nervous_Chemosensory","ECB-GENEPAGE-23187163"
"2106","GPCRRhodopsin_All","ECB-GENEPAGE-23187163"
"2107","Nervous_Chemosensory","ECB-GENEPAGE-23187163"
"2108","GPCRRhodopsin_All","ECB-GENEPAGE-23187163"
"2109","Nervous_Chemosensory","ECB-GENEPAGE-23187163"
"2110","GPCRRhodopsin_All","ECB-GENEPAGE-23187163"
"2111","GPCRRhodopsin_All","ECB-GENEPAGE-23187163"
"2112","Nervous_Chemosensory","ECB-GENEPAGE-23187163"
"2113","Nervous_Chemosensory","ECB-GENEPAGE-23187163"
"2114","GPCRRhodopsin_All","ECB-GENEPAGE-23187163"
"2115","Immunity_ReceptorScavenger","ECB-GENEPAGE-23187155"
